Girona FC,Girona,21,"27,3",8,"86,30 Mill. €","4,11 Mill. €",First Tier -  Spain
Levante UD,Levante,26,"26,7",9,"86,00 Mill. €","3,31 Mill. €",First Tier -  Spain
Getafe CF,Getafe,23,"27,6",11,"80,40 Mill. €","3,50 Mill. €",First Tier -  Spain
Deportivo Alavés,Alavés,24,"26,3",8,"66,60 Mill. €","2,78 Mill. €",First Tier -  Spain
SD Eibar,SD Eibar,23,"28,6",7,"55,70 Mill. €","2,42 Mill. €",First Tier -  Spain
Rayo Vallecano,Rayo Vallecano,26,"27,6",10,"55,00 Mill. €","2,12 Mill. €",First Tier -  Spain
Real Valladolid CF,Real Valladolid,24,"27,2",5,"42,40 Mill. €","1,77 Mill. €",First Tier -  Spain
SD Huesca,SD Huesca,24,"28,0",11,"36,70 Mill. €","1,53 Mill. €",First Tier -  Spain
Paris Saint-Germain,Paris SG,28,"25,6",15,"867,65 Mill. €","30,99 Mill. €",First Tier -  France
Olympique Lyon,Olympique Lyon,26,"24,2",12,"369,40 Mill. €","14,21 Mill. €",First Tier -  France
AS Monaco,Monaco,33,"24,0",33,"295,40 Mill. €","8,95 Mill. €",First Tier -  France
Olympique Marseille,Marseille,29,"26,6",12,"272,30 Mill. €","9,39 Mill. €",First Tier -  France
OGC Nice,OGC Nice,27,"24,0",11,"141,35 Mill. €","5,24 Mill. €",First Tier -  France
LOSC Lille,LOSC Lille,24,"23,9",16,"128,55 Mill. €","5,36 Mill. €",First Tier -  France
Stade Rennais FC,Stade Rennais,28,"25,1",11,"125,00 Mill. €","4,46 Mill. €",First Tier -  France
FC Girondins Bordeaux,G. Bordeaux,29,"24,8",16,"120,75 Mill. €","4,16 Mill. €",First Tier -  France
FC Nantes,FC Nantes,31,"25,3",21,"108,80 Mill. €","3,51 Mill. €",First Tier -  France
AS Saint-Étienne,Saint-Étienne,26,"26,4",9,"86,50 Mill. €","3,33 Mill. €",First Tier -  France
FC Toulouse,Toulouse,28,"25,1",14,"80,30 Mill. €","2,87 Mill. €",First Tier -  France
FCO Dijon,Dijon,27,"26,9",13,"71,35 Mill. €","2,64 Mill. €",First Tier -  France
HSC Montpellier,Montpellier,24,"26,5",9,"65,45 Mill. €","2,73 Mill. €",First Tier -  France
RC Strasbourg Alsace,R. Strasbourg,27,"25,9",12,"65,00 Mill. €","2,41 Mill. €",First Tier -  France
Nîmes Olympique,Nîmes Olympique,27,"25,7",10,"63,60 Mill. €","2,36 Mill. €",First Tier -  France
SM Caen,SM Caen,28,"26,2",15,"59,60 Mill. €","2,13 Mill. €",First Tier -  France
SC Amiens,SC Amiens,26,"25,7",13,"53,00 Mill. €","2,04 Mill. €",First Tier -  France
SCO Angers,SCO Angers,29,"27,0",11,"52,60 Mill. €","1,81 Mill. €",First Tier -  France
EA Guingamp,Guingamp,23,"26,6",7,"48,45 Mill. €","2,11 Mill. €",First Tier -  France
Stade Reims,Reims,28,"25,5",15,"43,75 Mill. €","1,56 Mill. €",First Tier -  France
Juventus FC,Juventus,24,"28,3",14,"783,50 Mill. €","32,65 Mill. €",First Tier -  Italy
Inter Milan,Inter,24,"28,5",16,"555,10 Mill. €","23,13 Mill. €",First Tier -  Italy
SSC Napoli,SSC Napoli,25,"26,9",21,"515,50 Mill. €","20,62 Mill. €",First Tier -  Italy
AC Milan,AC Milan,29,"26,5",15,"486,00 Mill. €","16,76 Mill. €",First Tier -  Italy
AS Roma,AS Roma,25,"26,9",16,"382,05 Mill. €","15,28 Mill. €",First Tier -  Italy
SS Lazio,Lazio,34,"26,5",25,"337,70 Mill. €","9,93 Mill. €",First Tier -  Italy
ACF Fiorentina,Fiorentina,28,"24,1",22,"242,78 Mill. €","8,67 Mill. €",First Tier -  Italy
UC Sampdoria,Sampdoria,26,"26,0",16,"165,20 Mill. €","6,35 Mill. €",First Tier -  Italy
Atalanta BC,Atalanta,26,"25,3",17,"163,35 Mill. €","6,28 Mill. €",First Tier -  Italy
Torino FC,Torino,25,"26,6",14,"158,90 Mill. €","6,36 Mill. €",First Tier -  Italy
US Sassuolo,Sassuolo,29,"25,3",11,"132,53 Mill. €","4,57 Mill. €",First Tier -  Italy
Udinese Calcio,Udinese Calcio,29,"24,5",23,"115,35 Mill. €","3,98 Mill. €",First Tier -  Italy
Cagliari Calcio,Cagliari Calcio,25,"28,8",10,"112,48 Mill. €","4,50 Mill. €",First Tier -  Italy
Genoa CFC,Genoa,28,"26,5",19,"85,85 Mill. €","3,07 Mill. €",First Tier -  Italy
Bologna FC 1909,Bologna,27,"26,5",20,"72,38 Mill. €","2,68 Mill. €",First Tier -  Italy
SPAL 2013,SPAL,30,"27,0",11,"61,30 Mill. €","2,04 Mill. €",First Tier -  Italy
Parma Calcio 1913,Parma,33,"28,1",8,"56,63 Mill. €","1,72 Mill. €",First Tier -  Italy
Frosinone Calcio,Frosinone,32,"26,7",9,"46,85 Mill. €","1,46 Mill. €",First Tier -  Italy
FC Empoli,FC Empoli,31,"26,5",17,"45,58 Mill. €","1,47 Mill. €",First Tier -  Italy
Chievo Verona,Chievo Verona,31,"27,7",17,"42,00 Mill. €","1,35 Mill. €",First Tier -  Italy
Sociedade Esportiva Palmeiras,Palmeiras,48,"24,8",4,"88,33 Mill. €","1,84 Mill. €",First Tier -  Brazil
São Paulo Futebol Clube,São Paulo,50,"23,0",5,"70,88 Mill. €","1,42 Mill. €",First Tier -  Brazil
